month,classification,counts
1,amendment-introduction,48
1,amendment-passage,2
1,became-law,4
1,committee-failure,1
1,committee-passage,23
1,committee-passage-favorable,10
1,executive-receipt,3
1,executive-signature,3
1,executive-veto,1
1,filing,3172
1,introduction,4
1,passage, reading-3,2
1,passage,146
1,reading-1,2943
1,reading-2,2
1,referral-committee,3766
2,amendment-failure,53
2,amendment-introduction,522
2,amendment-passage,228
2,committee-failure,8
2,committee-passage,674
2,committee-passage-favorable,80
2,filing,6896
2,introduction,222
2,"passage, reading-3",219
2,passage,232
2,reading-1,6729
2,reading-2,542
2,reading-3,35
2,referral-committee,10749
2,],8417
3,amendment-failure,121
3,amendment-introduction,878
3,amendment-passage,417
3,became-law,1
3,committee-failure,15
3,committee-passage,3588
3,committee-passage-favorable,289
3,executive-receipt,1
3,executive-signature,1
3,filing,578
3,introduction,383
3,"passage, reading-3",563
3,passage,339
3,reading-1,930
3,reading-2,2100
3,reading-3,155
3,referral-committee,10675
3,withdrawal,1
4,amendment-failure,103
4,amendment-introduction,880
4,amendment-passage,642
4,became-law,25
4,committee-failure,3
4,committee-passage,326
4,committee-passage-favorable,433
4,executive-receipt,268
4,executive-signature,25
4,failure,reading-3,2
4,filing,365
4,introduction,1020
4,"passage,reading-3",1125
4,passage,358
4,reading-1,1449
4,reading-2,3636
4,reading-3,788
4,referral-committee,6087
4,withdrawal,2
5,amendment-failure,86
5,amendment-introduction,458
5,amendment-passage,343
5,became-law,321
5,committee-failure,3
5,committee-passage,731
5,committee-passage-favorable,196
5,executive-receipt,148
5,executive-signature,321
5,filing,398
5,introduction,149
5,passage,reading-3,700
5,passage,234
5,reading-1,138
5,reading-2,1120
5,reading-3,384
5,referral-committee,2596
6,amendment-failure,3
6,amendment-introduction,8
6,amendment-passage,12
6,became-law,102
6,committee-passage-favorable,5
6,executive-receipt,649
6,executive-signature,101
6,executive-veto,1
6,filing,103
6,introduction,19
6,passage,12
6,passage,109
6,reading-1,5
6,reading-2,8
6,referral-committee,183
7,became-law,190
7,executive-receipt,7
7,executive-signature,190
7,filing,48
7,referral-committee,561
8,amendment-failure,2
8,amendment-introduction,11
8,amendment-passage,5
8,became-law,428
8,committee-passage-favorable,6
8,executive-signature,427
8,executive-veto,6
8,filing,234
8,introduction,7
8,passage,2
8,passage,2
8,reading-1,6
8,reading-2,6
8,reading-3,37
8,referral-committee,144
8,veto-override-passage,1
9,amendment-introduction,6
9,amendment-passage,2
9,became-law,3
9,committee-passage-favorable,3
9,executive-receipt,3
9,executive-signature,2
9,filing,123
9,introduction,2
9,passage,2
9,passage,189
9,reading-1,42
9,referral-committee,90
10,amendment-failure,14
10,amendment-introduction,77
10,amendment-passage,56
10,became-law,3
10,committee-passage,15
10,committee-passage-favorable,35
10,executive-signature,1
10,filing,308
10,introduction,28
10,passage,37
10,passage,185
10,reading-1,104
10,reading-2,58
10,reading-3,22
10,referral-committee,428
11,amendment-introduction,8
11,amendment-passage,3
11,became-law,9
11,executive-receipt,27
11,executive-signature,9
11,filing,427
11,introduction,4
11,passage,3
11,passage,420
11,reading-1,135
11,reading-2,7
11,referral-committee,561
12,became-law,16
12,executive-signature,16
12,filing,186
12,reading-1,19
12,referral-committee,76